Product Name,Ad Type,Campaign Id,Ad Group Id,Campaign Name,Ad Group Name,Default Bid,Ad Group Type,ASIN,SKU,Total Cost,Pick Pack Fee,AMZ Price,Referral Fee,BE ROAS,BE ACOS,Organic Target,Sponsored Target,DP CVR,Percentage
Cakeware Pans General,Sponsored Products,106871411459990,16603817597597,Cakeware Pans - General - SP - KW - Comp,Cakeware Pans - General - SP - KW - Comp - KW Broad,0.3,KW Broad,,,,,,,4.0,0.25,,,,2.75
Cakeware Pans General,Sponsored Products,106871411459990,127608584452090,Cakeware Pans - General - SP - KW - Comp,Cakeware Pans - General - SP - KW - Comp - KW Exact,0.45,KW Exact,,,,,,,4.0,0.25,,,,2.75
Cakeware Pans General,Sponsored Brands,144163568048889000,,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,,,KW Exact,,,,,,,4.0,0.25,,,,1.0
Cakeware Pans General,Sponsored Brands,144275783394874000,,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,,,KW Exact,,,,,,,4.0,0.25,,,,1.0
Cakeware Pans 4 Inch,Sponsored Products,226575437236586,225482025522316,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 4 Inch - SP - KW - Phrase - KW Phrase,0.27,KW Phrase,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,2.75
Cakeware Pans 4 7 9,Sponsored Products,226575437236586,169710891984810,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 4 7 9 - SP - KW - Phrase - KW Phrase,0.27,KW Phrase,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,2.75
Cakeware Pans 7 Inch,Sponsored Products,226575437236586,70037013517822,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 7 Inch - SP - KW - Phrase - KW Phrase,0.27,KW Phrase,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,2.75
Cakeware Pans General,Sponsored Products,226575437236586,99343415785136,Cakeware Pans - SP - KW - Phrase,Cakeware Pans General - SP - KW - Phrase - KW Phrase,0.27,KW Phrase,,,,,,,4.0,0.25,,,,2.75
Cakeware Pans 9 Inch,Sponsored Products,226575437236586,34394738231038,Cakeware Pans - SP - KW - Phrase,Cakeware Pans 9 Inch - SP - KW - Phrase - KW Phrase,0.27,KW Phrase,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,2.75
Cakeware Pans 4 7 9,Sponsored Brands,200856912810,,Cakeware Pans 4 7 9 - SBV - KW - Main Video - KW Broad,,,KW Broad,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,1.0
