Title,ASIN,Keyword,Marketplace,Search Volume,Organic Rank,Sponsored Position,Date Added
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","wooden shelf","www.amazon.com","5847","22","-","2022-05-08 05:33:58"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","dark walnut floating shelves","www.amazon.com","12","29","-","2022-05-08 05:40:26"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","20 floating shelf","www.amazon.com","26","18","-","2022-05-08 05:52:41"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","thick wood shelves","www.amazon.com","680","16","-","2022-05-08 07:04:24"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","floating shelves for wall","www.amazon.com","893","21","-","2022-05-08 07:54:37"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","solid wood floating shelves","www.amazon.com","283","7","-","2022-05-08 08:04:54"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","free floating shelves","www.amazon.com","510","31","-","2022-05-08 08:11:26"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","imperative decor floating shelves rustic wood wall shelf","www.amazon.com","-","4","-","2022-05-08 08:14:56"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","repisa flotantes de pared","www.amazon.com","-","11","-","2022-05-08 08:32:04"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","wall shelves","www.amazon.com","158629","148","-","2022-05-08 08:57:53"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","floating shelves","www.amazon.com","380423","24","-","2022-05-08 09:07:06"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","17 floating shelves","www.amazon.com","-","1","-","2022-05-08 09:34:26"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","dark wood shelf wall","www.amazon.com","-","36","-","2022-05-08 09:37:38"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","imperative decor floating shelf","www.amazon.com","-","3","1","2022-05-08 09:50:17"
